02.045.727/0001-10SC510102SC      14199 14199 NF  1  10/08/2009S               51,00               12,00N                0,00                0,00                0,00               51,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
83.096.123/0001-03SC510102SC      14200 14200 NF  1  10/08/2009S              212,50               12,00N                0,00                0,00                0,00              212,50                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
65.453.987/0001-45SP610102SC      14201 14201 NF  1  10/08/2009S              255,00               12,00N                0,00                0,00                0,00              255,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
60.992.146/0001-92SP610102SC      14202 14202 NF  1  10/08/2009S              204,00               12,00N                0,00                0,00                0,00              204,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
01.363.763/0001-60PR610102SC      14203 14203 NF  1  10/08/2009S              102,00               12,00N                0,00                0,00                0,00              102,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
04.508.154/0001-40ES610102SC      14204 14204 NF  1  11/08/2009S              156,00               12,00N                0,00                0,00                0,00              156,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
82.661.349/0001-39SC510102SC      14205 14205 NF  1  11/08/2009S               67,20               12,00N                0,00                0,00                0,00               67,20                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
03.812.731/0001-20SC510102SC      14206 14206 NF  1  11/08/2009S               51,00               12,00N                0,00                0,00                0,00               51,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
61.365.508/0001-88SP610102SC      14207 14207 NF  1  11/08/2009S              395,76               12,00N                0,00                0,00                0,00              395,76                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
07.892.893/0001-76PR610102SC      14208 14208 NF  1  11/08/2009S              204,00               12,00N                0,00                0,00                0,00              204,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
08.174.615/0001-46PR610102SC      14209 14209 NF  1  11/08/2009S              153,00               12,00N                0,00                0,00                0,00              153,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
07.844.741/0002-89SP610102SC      14210 14210 NF  1  11/08/2009S              204,00               12,00N                0,00                0,00                0,00              204,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
00.214.083/0001-11SC510102SC      14211 14211 NF  1  12/08/2009S               51,00               12,00N                0,00                0,00                0,00               51,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
02.832.159/0001-06SC510102SC      14212 14212 NF  1  12/08/2009S               67,20               12,00N                0,00                0,00                0,00               67,20                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
01.999.830/0001-37SC510102SC      14213 14213 NF  1  12/08/2009S               51,00               12,00N                0,00                0,00                0,00               51,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
07.693.836/0001-68SP610102SC      14214 14214 NF  1  12/08/2009S              306,00               12,00N                0,00                0,00                0,00              306,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
62.498.365/0001-45SP610102SC      14215 14215 NF  1  12/08/2009S              204,00               12,00N                0,00                0,00                0,00              204,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
76.430.438/0044-01PR610102SC      14216 14216 NF  1  12/08/2009S              667,58               12,00N                0,00                0,00                0,00              667,58                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
76.430.438/0044-01PR691002SC      14217 14217 NF  1  12/08/2009S                0,00               00,00N                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                   NOTA FISCAL CANCELADA    xxxx01
76.430.438/0044-01PR691002SC      14218 14218 NF  1  12/08/2009S               69,54               12,00N                0,00                0,00                0,00               69,54                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
83.648.477/0018-53SC510102SC      14219 14219 NF  1  12/08/2009S                0,00               00,00N                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                   NOTA FISCAL CANCELADA    xxxx01
